ticker,name,market,locale,active,source_feed
I:BKXNTR,KBW Nasdaq Bank Net Total Return Index,indices,us,True,NasdaqGIDS
I:BKXTR,KBW Nasdaq Bank Total Return Index,indices,us,True,NasdaqGIDS
I:BNL30N,Cboe Netherlands 30 - net,indices,us,True,CboeGlobalIndicesCGI
I:BNL30P,Cboe Netherlands 30,indices,us,True,CboeGlobalIndicesCGI
I:BNLM25N,Cboe Netherlands Mid Cap 25 - net,indices,us,True,CboeGlobalIndicesCGI
I:BNLM25P,Cboe Netherlands Mid Cap 25,indices,us,True,CboeGlobalIndicesCGI
I:BNO25G,Cboe Norway 25 Gross Return,indices,us,True,CboeGlobalIndicesCGI
I:BNO25N,Cboe Norway 25 - net,indices,us,True,CboeGlobalIndicesCGI
I:BNO25P,Cboe Norway 25,indices,us,True,CboeGlobalIndicesCGI
I:BNORD40N,Cboe Nordic 40 - net,indices,us,True,CboeGlobalIndicesCGI
I:BNORD40P,Cboe Nordic 40,indices,us,True,CboeGlobalIndicesCGI
I:BNT200RP,Cboe 200 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BNT2KRP,Cboe 2000 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BNT500RP,Cboe 500 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BNT50RP,Cboe 50 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BOILIV,PROSHARES ULTRA BLOOMBERG NATURAL GAS ETF,indices,us,True,CboeGlobalIndicesINAV
I:BOX15K26,,indices,us,True,CboeGlobalIndicesMain
I:BOX15Z28,,indices,us,True,CboeGlobalIndicesMain
I:BOX17J26,,indices,us,True,CboeGlobalIndicesMain
I:BOX17M27,,indices,us,True,CboeGlobalIndicesMain
I:BOX17Z27,,indices,us,True,CboeGlobalIndicesMain
I:BOX18M26,,indices,us,True,CboeGlobalIndicesMain
I:BOX18U26,,indices,us,True,CboeGlobalIndicesMain
I:BOX18Z26,,indices,us,True,CboeGlobalIndicesMain
I:BOX20H26,,indices,us,True,CboeGlobalIndicesMain
I:BOX20Z30,,indices,us,True,CboeGlobalIndicesMain
I:BOX21Z29,,indices,us,True,CboeGlobalIndicesMain
I:BPT20N,Cboe Portugal 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BPT20P,Cboe Portugal 20,indices,us,True,CboeGlobalIndicesCGI
I:BR20,Dow Jones Brazil Titans 20 ADR Index,indices,us,True,CMEMarketDataPlatformDowJones
I:BRIC50D,Dow Jones BRIC 50 Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
I:BRIC50E,Dow Jones BRIC 50 Index (EUR),indices,us,True,CMEMarketDataPlatformDowJones
I:BSE30N,Cboe Sweden 30 - net,indices,us,True,CboeGlobalIndicesCGI
I:BSE30P,Cboe Sweden 30,indices,us,True,CboeGlobalIndicesCGI
I:BTC10RP,Cboe 10 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTC1RP,Cboe 1 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTC20PRP,Cboe 0.2 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTC20RP,Cboe 20 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTC5RP,Cboe 5 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTCOIV,Invesco Galaxy Bitcoin ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesCCCY
I:BUK100N,Cboe UK 100 - net,indices,us,True,CboeGlobalIndicesCGI
I:BUK100P,Cboe UK 100,indices,us,True,CboeGlobalIndicesCGI
I:BUK250N,Cboe UK 250 - net,indices,us,True,CboeGlobalIndicesCGI
I:BUK250P,Cboe UK 250,indices,us,True,CboeGlobalIndicesCGI
I:BUK350N,Cboe UK 350 - net,indices,us,True,CboeGlobalIndicesCGI
